                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2318,                 1.3528,                 1.5133,                0.59663,                0.64368,                0.60498,                0.35661,                 1.5477,                 1.4583,                 1.9054,               0.002674,               0.002674,               0.002674
                     76,                 1.2315,                 1.3242,                 1.5114,                0.62008,                0.59407,                0.60438,                0.35231,                 1.6119,                 1.4889,                 1.9265,               0.002575,               0.002575,               0.002575
                     77,                 1.2373,                 1.3039,                 1.5012,                0.59797,                0.58621,                0.57455,                 0.3502,                 1.5223,                 1.5139,                 1.8859,               0.002476,               0.002476,               0.002476
                     78,                 1.1982,                 1.2632,                 1.4952,                0.60219,                0.60899,                 0.5741,                0.33693,                 1.5406,                 1.4924,                 1.9599,               0.002377,               0.002377,               0.002377
                     79,                 1.2095,                 1.3101,                 1.5026,                0.64926,                0.62069,                0.60759,                0.35723,                 1.5064,                 1.4553,                 1.8809,               0.002278,               0.002278,               0.002278
                     80,                  1.215,                  1.346,                 1.5106,                0.65225,                0.56772,                0.60983,                 0.3627,                 1.5876,                 1.4577,                 1.9212,               0.002179,               0.002179,               0.002179
                     81,                 1.1825,                  1.206,                 1.4665,                0.61666,                0.59784,                0.59938,                0.35348,                 1.5612,                 1.4595,                 1.8904,                0.00208,                0.00208,                0.00208
                     82,                 1.2582,                 1.3238,                 1.5374,                0.60855,                0.65517,                0.63209,                0.37372,                 1.5568,                  1.405,                 1.8894,               0.001981,               0.001981,               0.001981
                     83,                 1.1643,                 1.3235,                 1.4232,                0.65732,                0.58238,                0.62609,                0.36331,                 1.6062,                 1.4095,                 1.9112,               0.001882,               0.001882,               0.001882
                     84,                 1.1653,                 1.2164,                 1.4589,                0.68465,                0.62387,                0.63382,                0.36603,                 1.5887,                 1.4082,                 1.8979,               0.001783,               0.001783,               0.001783
